order_id,date,product,category,price,quantity,region,channel,discount_pct,is_returned
ORD-1028,2024-01-29,Gadget C,Tools,89.5,43,West,Wholesale,0,no
ORD-1029,2024-01-30,Pen Set,Office,9.99,14,Central,Wholesale,15,no
ORD-1030,2024-01-31,Book X,Books,14.99,26,East,Retail,10,no
ORD-1031,2024-02-01,Gizmo D,Tools,12.99,15,North,Retail,0,no
ORD-1032,2024-02-02,Gizmo D,Tools,12.99,38,South,Online,0,no
ORD-1033,2024-02-03,Widget A,Electronics,29.99,15,North,Online,0,no
ORD-1034,2024-02-04,Gizmo D,Tools,12.99,18,West,Online,10,no
ORD-1035,2024-02-05,Notebook,Office,4.99,16,West,Retail,0,no
ORD-1036,2024-02-06,Pen Set,Office,9.99,23,West,Retail,5,no
ORD-1037,2024-02-07,Widget A,Electronics,29.99,44,North,Online,5,no
ORD-1038,2024-02-08,Widget B,Electronics,49.99,16,South,Online,10,no
ORD-1039,2024-02-09,Pen Set,Office,9.99,12,East,Retail,0,no
ORD-1040,2024-02-10,Widget B,Electronics,49.99,29,Central,Online,0,no
ORD-1041,2024-02-11,Widget A,Electronics,29.99,6,South,Online,5,no
ORD-1042,2024-02-12,Gizmo D,Tools,12.99,26,North,Online,5,yes
ORD-1043,2024-02-13,Pen Set,Office,9.99,17,West,Retail,5,no
ORD-1044,2024-02-14,Notebook,Office,4.99,10,South,Retail,0,no
ORD-1045,2024-02-15,Widget A,Electronics,29.99,48,East,Online,0,no
ORD-1046,2024-02-16,Gadget C,Tools,89.5,4,Central,Online,0,no
ORD-1047,2024-02-17,Widget B,Electronics,49.99,44,South,Retail,0,no
ORD-1048,2024-02-18,Gizmo D,Tools,12.99,38,Central,Online,10,no
ORD-1049,2024-02-19,Book Y,Books,24.99,17,South,Wholesale,15,no
ORD-1050,2024-02-20,Book X,Books,14.99,26,South,Wholesale,15,no
ORD-1051,2024-02-21,Book Y,Books,24.99,49,North,Online,5,no
ORD-1052,2024-02-22,Widget B,Electronics,49.99,5,Central,Online,10,no
ORD-1053,2024-02-23,Book Y,Books,24.99,5,South,Retail,0,no
ORD-1054,2024-02-24,Book X,Books,14.99,40,Central,Online,15,no
ORD-1055,2024-02-25,Book X,Books,14.99,43,North,Online,0,no
ORD-1056,2024-02-26,Widget B,Electronics,49.99,48,Central,Online,0,no
ORD-1057,2024-02-27,Gizmo D,Tools,12.99,46,East,Online,15,no
ORD-1058,2024-02-28,Book X,Books,14.99,33,West,Retail,0,no
ORD-1059,2024-02-29,Pen Set,Office,9.99,18,North,Online,0,no
ORD-1060,2024-03-01,Book X,Books,14.99,11,West,Wholesale,15,no
ORD-1061,2024-03-02,Widget A,Electronics,29.99,8,North,Wholesale,0,no
ORD-1062,2024-03-03,Book Y,Books,24.99,38,Central,Online,5,no
ORD-1063,2024-03-04,Book X,Books,14.99,24,North,Retail,0,no
ORD-1064,2024-03-05,Widget B,Electronics,49.99,23,Central,Retail,10,no
ORD-1065,2024-03-06,Gizmo D,Tools,12.99,11,South,Retail,0,no
ORD-1066,2024-03-07,Book Y,Books,24.99,27,South,Retail,0,no
ORD-1067,2024-03-08,Widget B,Electronics,49.99,25,North,Retail,0,no
ORD-1068,2024-03-09,Notebook,Office,4.99,23,East,Online,0,yes
ORD-1069,2024-03-10,Gizmo D,Tools,12.99,26,East,Retail,0,no
ORD-1070,2024-03-11,Book X,Books,14.99,23,Central,Retail,15,no
ORD-1071,2024-03-12,Book Y,Books,24.99,2,North,Retail,0,no
ORD-1072,2024-03-13,Book X,Books,14.99,3,North,Wholesale,5,no
ORD-1073,2024-03-14,Book Y,Books,24.99,28,Central,Wholesale,0,no
ORD-1074,2024-03-15,Gizmo D,Tools,12.99,17,North,Wholesale,5,yes
ORD-1075,2024-03-16,Gizmo D,Tools,12.99,24,West,Online,15,no
ORD-1076,2024-03-17,Book Y,Books,24.99,43,North,Wholesale,0,no
ORD-1077,2024-03-18,Pen Set,Office,9.99,21,West,Wholesale,0,no
ORD-1078,2024-03-19,Gizmo D,Tools,12.99,27,West,Wholesale,15,no
ORD-1079,2024-03-20,Book X,Books,14.99,26,Central,Online,0,no
ORD-1080,2024-03-21,Pen Set,Office,9.99,38,Central,Wholesale,0,no
ORD-1081,2024-03-22,Notebook,Office,4.99,44,South,Wholesale,5,no
ORD-1082,2024-03-23,Gadget C,Tools,89.5,43,North,Retail,10,no
ORD-1083,2024-03-24,Book Y,Books,24.99,6,South,Wholesale,0,no
ORD-1084,2024-03-25,Gizmo D,Tools,12.99,10,North,Online,0,no
ORD-1085,2024-03-26,Widget B,Electronics,49.99,30,West,Wholesale,10,no
ORD-1086,2024-03-27,Pen Set,Office,9.99,32,West,Online,0,no
ORD-1087,2024-03-28,Widget A,Electronics,29.99,49,North,Retail,0,no
ORD-1088,2024-03-29,Notebook,Office,4.99,4,Central,Online,0,no
ORD-1089,2024-03-30,Notebook,Office,4.99,43,Central,Wholesale,10,no
ORD-1090,2024-03-31,Notebook,Office,4.99,40,Central,Retail,10,no
ORD-1091,2024-04-01,Gadget C,Tools,89.5,48,West,Retail,0,no
ORD-1092,2024-04-02,Book X,Books,14.99,50,Central,Retail,15,no
ORD-1093,2024-04-03,Notebook,Office,4.99,5,East,Online,0,no
ORD-1094,2024-04-04,Widget B,Electronics,49.99,9,South,Online,5,no
ORD-1095,2024-04-05,Gizmo D,Tools,12.99,5,West,Retail,0,no
ORD-1096,2024-04-06,Pen Set,Office,9.99,4,South,Retail,5,no
ORD-1097,2024-04-07,Widget A,Electronics,29.99,49,Central,Retail,5,yes
ORD-1098,2024-04-08,Book Y,Books,24.99,20,West,Retail,10,no
ORD-1099,2024-04-09,Gizmo D,Tools,12.99,32,South,Retail,5,no
ORD-1100,2024-04-10,Pen Set,Office,9.99,22,West,Wholesale,0,no
ORD-1101,2024-04-11,Gadget C,Tools,89.5,40,Central,Online,5,no
ORD-1102,2024-04-12,Widget A,Electronics,29.99,6,West,Online,5,no
ORD-1103,2024-04-13,Book X,Books,14.99,25,East,Online,5,no
ORD-1104,2024-04-14,Pen Set,Office,9.99,18,West,Retail,0,no
ORD-1105,2024-04-15,Widget A,Electronics,29.99,23,South,Wholesale,0,no
ORD-1106,2024-04-16,Widget A,Electronics,29.99,49,North,Online,0,no
ORD-1107,2024-04-17,Gadget C,Tools,89.5,16,South,Retail,15,no
ORD-1108,2024-04-18,Gizmo D,Tools,12.99,30,East,Retail,0,no
ORD-1109,2024-04-19,Widget B,Electronics,49.99,50,South,Retail,0,no
ORD-1110,2024-04-20,Book X,Books,14.99,37,West,Retail,15,no
ORD-1111,2024-04-21,Gizmo D,Tools,12.99,7,East,Wholesale,10,no
ORD-1112,2024-04-22,Widget A,Electronics,29.99,23,Central,Retail,15,no
ORD-1113,2024-04-23,Book Y,Books,24.99,1,West,Retail,0,no
ORD-1114,2024-04-24,Book Y,Books,24.99,41,West,Wholesale,0,no
ORD-1115,2024-04-25,Book X,Books,14.99,40,Central,Retail,5,no
ORD-1116,2024-04-26,Book X,Books,14.99,21,South,Online,0,no
ORD-1117,2024-04-27,Gizmo D,Tools,12.99,49,West,Wholesale,10,no
ORD-1118,2024-04-28,Book Y,Books,24.99,2,West,Retail,0,no
ORD-1119,2024-04-29,Book Y,Books,24.99,17,East,Retail,10,no
ORD-1120,2024-04-30,Book X,Books,14.99,36,North,Wholesale,0,no
ORD-1121,2024-05-01,Pen Set,Office,9.99,32,Central,Online,15,no
ORD-1122,2024-05-02,Notebook,Office,4.99,29,North,Online,0,no
ORD-1123,2024-05-03,Gizmo D,Tools,12.99,20,Central,Retail,5,no
ORD-1124,2024-05-04,Book Y,Books,24.99,28,Central,Retail,0,no
ORD-1125,2024-05-05,Book X,Books,14.99,20,East,Online,0,no
ORD-1126,2024-05-06,Book Y,Books,24.99,8,Central,Wholesale,0,no
ORD-1127,2024-05-07,Notebook,Office,4.99,18,Central,Wholesale,10,no
ORD-1128,2024-05-08,Widget B,Electronics,49.99,13,East,Online,0,no
ORD-1129,2024-05-09,Widget A,Electronics,29.99,46,Central,Online,0,yes
ORD-1130,2024-05-10,Widget A,Electronics,29.99,36,East,Wholesale,0,no
ORD-1131,2024-05-11,Notebook,Office,4.99,7,North,Wholesale,0,no
ORD-1132,2024-05-12,Notebook,Office,4.99,22,South,Online,0,no
ORD-1133,2024-05-13,Notebook,Office,4.99,8,North,Retail,5,no
ORD-1134,2024-05-14,Widget A,Electronics,29.99,10,South,Wholesale,0,no
ORD-1135,2024-05-15,Gizmo D,Tools,12.99,8,Central,Retail,10,no
ORD-1136,2024-05-16,Gizmo D,Tools,12.99,50,Central,Retail,5,no
ORD-1137,2024-05-17,Book X,Books,14.99,38,West,Retail,10,no
ORD-1138,2024-05-18,Widget B,Electronics,49.99,49,South,Wholesale,0,no
ORD-1139,2024-05-19,Widget B,Electronics,49.99,11,South,Online,10,no
ORD-1140,2024-05-20,Widget A,Electronics,29.99,27,West,Wholesale,10,no
ORD-1141,2024-05-21,Widget A,Electronics,29.99,15,East,Wholesale,0,no
ORD-1142,2024-05-22,Notebook,Office,4.99,5,South,Retail,15,no
ORD-1143,2024-05-23,Gizmo D,Tools,12.99,28,North,Wholesale,0,no
ORD-1144,2024-05-24,Book X,Books,14.99,10,North,Online,0,no
ORD-1145,2024-05-25,Book X,Books,14.99,29,North,Retail,15,no
ORD-1146,2024-05-26,Pen Set,Office,9.99,18,Central,Wholesale,5,no
ORD-1147,2024-05-27,Widget A,Electronics,29.99,28,East,Wholesale,0,yes
ORD-1148,2024-05-28,Gizmo D,Tools,12.99,44,Central,Wholesale,0,no
ORD-1149,2024-05-29,Book X,Books,14.99,37,North,Online,5,no
ORD-1150,2024-05-30,Notebook,Office,4.99,18,South,Wholesale,5,no
ORD-1151,2024-05-31,Notebook,Office,4.99,6,West,Retail,5,no
ORD-1152,2024-06-01,Widget B,Electronics,49.99,11,East,Retail,15,no
ORD-1153,2024-06-02,Pen Set,Office,9.99,49,Central,Online,5,no
ORD-1154,2024-06-03,Book X,Books,14.99,21,North,Retail,10,no
ORD-1155,2024-06-04,Widget A,Electronics,29.99,43,Central,Retail,5,no
ORD-1156,2024-06-05,Book Y,Books,24.99,40,West,Wholesale,5,no
ORD-1157,2024-06-06,Gizmo D,Tools,12.99,18,Central,Online,0,no
ORD-1158,2024-06-07,Notebook,Office,4.99,8,North,Wholesale,10,no
ORD-1159,2024-06-08,Gadget C,Tools,89.5,20,Central,Online,10,no
ORD-1160,2024-06-09,Gizmo D,Tools,12.99,8,West,Online,15,no
ORD-1161,2024-06-10,Notebook,Office,4.99,46,East,Wholesale,15,no
ORD-1162,2024-06-11,Notebook,Office,4.99,31,South,Retail,10,no
ORD-1163,2024-06-12,Gizmo D,Tools,12.99,39,Central,Wholesale,0,no
ORD-1164,2024-06-13,Book X,Books,14.99,50,West,Retail,10,no
ORD-1165,2024-06-14,Widget A,Electronics,29.99,19,East,Wholesale,10,no
ORD-1166,2024-06-15,Notebook,Office,4.99,10,West,Wholesale,5,no
ORD-1167,2024-06-16,Pen Set,Office,9.99,30,East,Online,15,no
ORD-1168,2024-06-17,Pen Set,Office,9.99,15,West,Online,0,no
ORD-1169,2024-06-18,Pen Set,Office,9.99,25,South,Retail,0,no
ORD-1170,2024-06-19,Book Y,Books,24.99,7,West,Online,10,no
ORD-1171,2024-06-20,Widget A,Electronics,29.99,47,South,Retail,15,no
ORD-1172,2024-06-21,Widget B,Electronics,49.99,31,East,Retail,10,no
ORD-1173,2024-06-22,Widget B,Electronics,49.99,22,Central,Retail,0,no
ORD-1174,2024-06-23,Notebook,Office,4.99,35,North,Wholesale,0,no
ORD-1175,2024-06-24,Book X,Books,14.99,15,North,Retail,0,no
ORD-1176,2024-06-25,Widget B,Electronics,49.99,29,South,Wholesale,0,no
ORD-1177,2024-06-26,Widget A,Electronics,29.99,21,North,Retail,0,no
ORD-1178,2024-06-27,Gadget C,Tools,89.5,16,Central,Retail,10,no
ORD-1179,2024-06-28,Gadget C,Tools,89.5,11,South,Online,10,no
