txn_id,date,account_type,category,flow_type,amount_usd,description,is_reconciled
TXN-00035,2024-05-17,Expense,Marketing,expense,-6339.46,Marketing transaction for period,False
TXN-00036,2024-04-29,Revenue,Sales,income,4600.83,Sales transaction for period,True
TXN-00037,2024-04-21,Asset,Inventory,asset,17161.45,Inventory transaction for period,False
TXN-00038,2024-07-09,Asset,Inventory,asset,23237.85,Inventory transaction for period,True
TXN-00039,2024-02-11,Expense,Software,expense,-42192.96,Software transaction for period,True
TXN-00040,2024-05-16,Revenue,Sales,income,38805.08,Sales transaction for period,True
TXN-00041,2024-08-28,Liability,Loans,liability,9162.03,Loans transaction for period,False
TXN-00042,2024-01-07,Asset,Cash,asset,6185.88,Cash transaction for period,True
TXN-00043,2024-08-14,Asset,Cash,asset,12433.39,Cash transaction for period,True
TXN-00044,2024-08-23,Expense,Rent,expense,-36792.61,Rent transaction for period,True
TXN-00045,2024-12-06,Liability,Loans,liability,49107.58,Loans transaction for period,False
TXN-00046,2024-12-14,Asset,Cash,asset,48064.57,Cash transaction for period,False
TXN-00047,2024-11-18,Expense,Salaries,expense,-36439.03,Salaries transaction for period,True
TXN-00048,2024-09-03,Expense,Marketing,expense,-31962.15,Marketing transaction for period,True
TXN-00049,2024-01-27,Expense,Software,expense,-43196.52,Software transaction for period,True
TXN-00050,2024-04-30,Revenue,Services,income,31682.16,Services transaction for period,False
TXN-00051,2024-03-26,Revenue,Sales,income,39740.08,Sales transaction for period,True
TXN-00052,2024-05-04,Asset,Cash,asset,545.6,Cash transaction for period,True
TXN-00053,2024-12-19,Liability,Payable,liability,23816.01,Payable transaction for period,True
TXN-00054,2024-02-15,Expense,Software,expense,-12511.24,Software transaction for period,False
TXN-00055,2024-12-17,Revenue,Services,income,30970.38,Services transaction for period,True
TXN-00056,2024-07-01,Revenue,Sales,income,32264.29,Sales transaction for period,True
TXN-00057,2024-09-06,Expense,Salaries,expense,-11710.46,Salaries transaction for period,False
TXN-00058,2024-04-08,Asset,Inventory,asset,1165.51,Inventory transaction for period,False
TXN-00059,2024-03-09,Expense,Software,expense,-12609.74,Software transaction for period,True
TXN-00060,2024-12-27,Asset,Inventory,asset,21931.25,Inventory transaction for period,False
TXN-00061,2024-12-22,Liability,Loans,liability,24555.59,Loans transaction for period,True
TXN-00062,2024-06-27,Liability,Loans,liability,16251.68,Loans transaction for period,False
TXN-00063,2024-11-02,Expense,Marketing,expense,-45732.25,Marketing transaction for period,True
TXN-00064,2024-09-28,Revenue,Services,income,7835.77,Services transaction for period,False
TXN-00065,2024-10-04,Expense,Marketing,expense,-18418.92,Marketing transaction for period,True
TXN-00066,2024-07-13,Liability,Loans,liability,36709.52,Loans transaction for period,True
TXN-00067,2024-07-05,Liability,Payable,liability,38823.23,Payable transaction for period,True
TXN-00068,2024-02-02,Expense,Software,expense,-32948.64,Software transaction for period,False
TXN-00069,2024-09-25,Expense,Rent,expense,-34192.89,Rent transaction for period,True
TXN-00070,2024-05-24,Liability,Payable,liability,16197.74,Payable transaction for period,False
TXN-00071,2024-02-19,Revenue,Services,income,26207.71,Services transaction for period,True
TXN-00072,2024-03-07,Revenue,Sales,income,9014.08,Sales transaction for period,True
TXN-00073,2024-02-24,Expense,Rent,expense,-24319.98,Rent transaction for period,True
TXN-00074,2024-10-19,Revenue,Sales,income,32123.41,Sales transaction for period,False
TXN-00075,2024-09-26,Asset,Inventory,asset,31236.13,Inventory transaction for period,False
TXN-00076,2024-07-06,Revenue,Sales,income,11114.07,Sales transaction for period,True
TXN-00077,2024-04-16,Revenue,Sales,income,32821.89,Sales transaction for period,True
TXN-00078,2024-11-23,Asset,Inventory,asset,3128.94,Inventory transaction for period,False
TXN-00079,2024-12-28,Expense,Software,expense,-3009.17,Software transaction for period,False
TXN-00080,2024-01-21,Liability,Loans,liability,36741.59,Loans transaction for period,False
TXN-00081,2024-04-20,Revenue,Services,income,48033.28,Services transaction for period,True
TXN-00082,2024-04-28,Revenue,Services,income,26629.89,Services transaction for period,True
TXN-00083,2024-09-26,Expense,Rent,expense,-32878.14,Rent transaction for period,True
TXN-00084,2024-10-12,Liability,Loans,liability,20817.71,Loans transaction for period,True
TXN-00085,2024-07-02,Liability,Payable,liability,33757.18,Payable transaction for period,False
TXN-00086,2024-03-26,Revenue,Services,income,39643.83,Services transaction for period,False
TXN-00087,2024-06-21,Liability,Loans,liability,32910.84,Loans transaction for period,False
TXN-00088,2024-06-10,Expense,Software,expense,-27549.06,Software transaction for period,False
TXN-00089,2024-07-30,Expense,Software,expense,-38232.8,Software transaction for period,False
TXN-00090,2024-11-07,Expense,Software,expense,-12112.06,Software transaction for period,True
TXN-00091,2024-10-08,Asset,Cash,asset,46314.73,Cash transaction for period,False
TXN-00092,2024-08-19,Expense,Software,expense,-22430.24,Software transaction for period,False
TXN-00093,2024-01-18,Revenue,Sales,income,49149.53,Sales transaction for period,True
TXN-00094,2024-03-10,Liability,Loans,liability,49671.26,Loans transaction for period,False
TXN-00095,2024-06-02,Revenue,Sales,income,49221.28,Sales transaction for period,True
TXN-00096,2024-01-12,Expense,Software,expense,-38599.0,Software transaction for period,False
TXN-00097,2024-09-18,Liability,Loans,liability,27860.52,Loans transaction for period,True
TXN-00098,2024-01-20,Revenue,Services,income,23072.45,Services transaction for period,True
TXN-00099,2024-05-15,Expense,Salaries,expense,-18417.44,Salaries transaction for period,True
TXN-00100,2024-05-11,Expense,Rent,expense,-40572.6,Rent transaction for period,True
TXN-00101,2024-07-23,Liability,Payable,liability,28496.34,Payable transaction for period,True
TXN-00102,2024-06-15,Revenue,Services,income,39665.92,Services transaction for period,True
TXN-00103,2024-12-19,Asset,Inventory,asset,35172.11,Inventory transaction for period,True
TXN-00104,2024-11-24,Liability,Payable,liability,15089.62,Payable transaction for period,False
TXN-00105,2024-01-29,Revenue,Services,income,46101.39,Services transaction for period,False
TXN-00106,2024-08-10,Expense,Software,expense,-20884.43,Software transaction for period,True
TXN-00107,2024-11-30,Expense,Rent,expense,-42488.96,Rent transaction for period,True
TXN-00108,2024-01-28,Asset,Cash,asset,15308.69,Cash transaction for period,True
TXN-00109,2024-10-03,Expense,Software,expense,-28289.15,Software transaction for period,False
TXN-00110,2024-12-23,Liability,Loans,liability,11117.78,Loans transaction for period,True
TXN-00111,2024-08-16,Asset,Cash,asset,37666.73,Cash transaction for period,True
TXN-00112,2024-08-09,Expense,Rent,expense,-14560.17,Rent transaction for period,False
TXN-00113,2024-03-08,Expense,Salaries,expense,-16874.79,Salaries transaction for period,False
TXN-00114,2024-01-26,Liability,Payable,liability,27452.81,Payable transaction for period,False
TXN-00115,2024-07-23,Revenue,Services,income,25140.97,Services transaction for period,True
TXN-00116,2024-09-03,Expense,Salaries,expense,-28008.88,Salaries transaction for period,False
TXN-00117,2024-11-29,Asset,Cash,asset,28609.4,Cash transaction for period,True
TXN-00118,2024-02-06,Expense,Rent,expense,-13386.23,Rent transaction for period,False
TXN-00119,2024-12-16,Expense,Software,expense,-46214.49,Software transaction for period,True
TXN-00120,2024-12-09,Revenue,Services,income,20737.74,Services transaction for period,False
